year,stage,home_team,away_team,home_score,away_score,home_elo,away_elo,is_host_home,is_host_away
2022,group,QAT,ECU,0,2,1520,1640,1,0
2022,group,SEN,NED,0,2,1650,1820,0,0
2022,group,ENG,IRN,6,2,1840,1580,0,0
2022,group,USA,WAL,1,1,1660,1610,0,0
2022,group,ARG,KSA,1,2,1920,1450,0,0
2022,group,MEX,POL,0,0,1680,1630,0,0
2022,group,FRA,AUS,4,1,1880,1550,0,0
2022,group,GER,JPN,1,2,1780,1610,0,0
2022,group,ESP,CRC,7,0,1820,1520,0,0
2022,group,BEL,CAN,1,0,1830,1590,0,0
2022,group,BRA,SRB,2,0,1950,1660,0,0
2022,group,POR,GHA,3,2,1800,1480,0,0
2022,group,QAT,SEN,1,3,1500,1640,1,0
2022,group,NED,ECU,1,1,1830,1650,0,0
2022,group,ENG,USA,0,0,1860,1665,0,0
2022,group,ARG,MEX,2,0,1900,1680,0,0
2022,group,ESP,GER,1,1,1840,1765,0,0
2022,group,POR,URU,2,0,1810,1720,0,0
2022,group,NED,QAT,2,0,1835,1490,0,1
2022,group,POL,ARG,0,2,1640,1910,0,0
2022,group,CRO,BEL,0,0,1730,1820,0,0
2022,group,CMR,BRA,1,0,1540,1960,0,0
2022,knockout,NED,USA,3,1,1840,1670,0,0
2022,knockout,ARG,AUS,2,1,1920,1580,0,0
2022,knockout,FRA,POL,3,1,1890,1630,0,0
2022,knockout,ENG,SEN,3,0,1865,1650,0,0
2022,knockout,BRA,KOR,4,1,1955,1590,0,0
2022,knockout,MAR,ESP,0,0,1690,1835,0,0
2022,knockout,HRV,BRA,1,1,1740,1965,0,0
2022,knockout,NED,ARG,2,2,1850,1925,0,0
2022,knockout,MAR,POR,1,0,1720,1820,0,0
2022,knockout,ENG,FRA,1,2,1875,1900,0,0
2022,knockout,ARG,HRV,3,0,1930,1750,0,0
2022,knockout,FRA,MAR,2,0,1910,1730,0,0
2022,knockout,HRV,MAR,2,1,1740,1720,0,0
2022,knockout,ARG,FRA,3,3,1945,1920,0,0
2018,group,RUS,KSA,5,0,1580,1410,1,0
2018,group,POR,ESP,3,3,1820,1860,0,0
2018,group,FRA,AUS,2,1,1840,1560,0,0
