games_played,team,probability
0,MEX,0.065170
0,RSA,0.000440
0,CZE,0.010650
0,KOR,0.011140
0,ALG,0.002920
0,ARG,0.231590
0,AUS,0.006810
0,AUT,0.009910
0,BEL,0.152000
0,BIH,0.002670
0,BRA,0.148950
0,CAN,0.035230
0,CIV,0.010640
0,COD,0.000920
0,COL,0.080090
0,CPV,0.000410
0,CRO,0.071500
0,CUW,0.000080
1,CZE,0.007080
0,ECU,0.012290
0,EGY,0.004680
0,ENG,0.168640
0,ESP,0.165910
0,FRA,0.248740
0,GER,0.073650
0,GHA,0.000990
0,HAI,0.000190
0,IRN,0.009830
0,IRQ,0.000430
0,JOR,0.000170
0,JPN,0.024510
1,KOR,0.014530
0,KSA,0.000650
0,MAR,0.046860
1,MEX,0.068670
0,NED,0.086010
0,NOR,0.010810
0,NZL,0.000110
0,PAN,0.000820
0,PAR,0.006550
0,POR,0.093370
0,QAT,0.002430
1,RSA,0.000340
0,SCO,0.005530
0,SEN,0.021610
0,SUI,0.021260
0,SWE,0.012620
0,TUN,0.002690
0,TUR,0.009860
0,URU,0.059570
0,USA,0.064300
0,UZB,0.000580
