abbreviation,full_name,group,elo_rating,federation
MEX,Mexico,Group A,1660,CONCACAF
RSA,South Africa,Group A,1410,CAF
KOR,South Korea,Group A,1560,AFC
CZE,Czechia,Group A,1555,UEFA
CAN,Canada,Group B,1615,CONCACAF
SUI,Switzerland,Group B,1610,UEFA
QAT,Qatar,Group B,1475,AFC
BIH,Bosnia-Herzegovina,Group B,1490,UEFA
BRA,Brazil,Group C,1785,CONMEBOL
MAR,Morocco,Group C,1680,CAF
SCO,Scotland,Group C,1530,UEFA
HAI,Haiti,Group C,1380,CONCACAF
USA,United States,Group D,1675,CONCACAF
PAR,Paraguay,Group D,1545,CONMEBOL
AUS,Australia,Group D,1550,AFC
TUR,Türkiye,Group D,1575,UEFA
GER,Germany,Group E,1705,UEFA
ECU,Ecuador,Group E,1570,CONMEBOL
CIV,Ivory Coast,Group E,1560,CAF
CUW,Curaçao,Group E,1320,CONCACAF
NED,Netherlands,Group F,1740,UEFA
JPN,Japan,Group F,1640,AFC
TUN,Tunisia,Group F,1515,CAF
SWE,Sweden,Group F,1595,UEFA
BEL,Belgium,Group G,1795,UEFA
IRN,Iran,Group G,1565,AFC
EGY,Egypt,Group G,1520,CAF
NZL,New Zealand,Group G,1370,OFC
ESP,Spain,Group H,1820,UEFA
URU,Uruguay,Group H,1715,CONMEBOL
KSA,Saudi Arabia,Group H,1440,AFC
CPV,Cape Verde,Group H,1420,CAF
FRA,France,Group I,1840,UEFA
SEN,Senegal,Group I,1625,CAF
NOR,Norway,Group I,1580,UEFA
IRQ,Iraq,Group I,1430,AFC
ARG,Argentina,Group J,1860,CONMEBOL
AUT,Austria,Group J,1585,UEFA
ALG,Algeria,Group J,1510,CAF
JOR,Jordan,Group J,1390,AFC
POR,Portugal,Group K,1750,UEFA
COL,Colombia,Group K,1735,CONMEBOL
UZB,Uzbekistan,Group K,1425,AFC
COD,DR Congo,Group K,1450,CAF
ENG,England,Group L,1810,UEFA
CRO,Croatia,Group L,1720,UEFA
PAN,Panama,Group L,1455,CONCACAF
GHA,Ghana,Group L,1460,CAF
